brand,url
bmw,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_size=25&page_number=1
honda,https://www.carlist.my/used-cars-for-sale/honda/malaysia?page_size=25&page_number=1
lexus,https://www.carlist.my/used-cars-for-sale/lexus/malaysia?page_size=25&page_number=1
proton,https://www.carlist.my/used-cars-for-sale/proton/malaysia?page_size=25&page_number=1
mercedes-benz,https://www.carlist.my/used-cars-for-sale/mercedes-benz/malaysia?page_size=25&page_number=1
perodua,https://www.carlist.my/used-cars-for-sale/perodua/malaysia?page_size=25&page_number=1
porsche,https://www.carlist.my/used-cars-for-sale/porsche/malaysia?page_size=25&page_number=1
toyota,https://www.carlist.my/used-cars-for-sale/toyota/malaysia?page_size=25&page_number=1
alfa-romeo,https://www.carlist.my/used-cars-for-sale/alfa-romeo/malaysia?page_size=25&page_number=1
aston-martin,https://www.carlist.my/used-cars-for-sale/aston-martin/malaysia?page_size=25&page_number=1
audi,https://www.carlist.my/used-cars-for-sale/audi/malaysia?page_size=25&page_number=1
auman,https://www.carlist.my/used-cars-for-sale/auman/malaysia?page_size=25&page_number=1
austin,https://www.carlist.my/used-cars-for-sale/austin/malaysia?page_size=25&page_number=1
bentley,https://www.carlist.my/used-cars-for-sale/bentley/malaysia?page_size=25&page_number=1
bison,https://www.carlist.my/used-cars-for-sale/bison/malaysia?page_size=25&page_number=1
byd,https://www.carlist.my/used-cars-for-sale/byd/malaysia?page_size=25&page_number=1
cadillac,https://www.carlist.my/used-cars-for-sale/cadillac/malaysia?page_size=25&page_number=1
cam,https://www.carlist.my/used-cars-for-sale/cam/malaysia?page_size=25&page_number=1
chana,https://www.carlist.my/used-cars-for-sale/chana/malaysia?page_size=25&page_number=1
chery,https://www.carlist.my/used-cars-for-sale/chery/malaysia?page_size=25&page_number=1
chevrolet,https://www.carlist.my/used-cars-for-sale/chevrolet/malaysia?page_size=25&page_number=1
citroen,https://www.carlist.my/used-cars-for-sale/citroen/malaysia?page_size=25&page_number=1
daihatsu,https://www.carlist.my/used-cars-for-sale/daihatsu/malaysia?page_size=25&page_number=1
dodge,https://www.carlist.my/used-cars-for-sale/dodge/malaysia?page_size=25&page_number=1
ferrari,https://www.carlist.my/used-cars-for-sale/ferrari/malaysia?page_size=25&page_number=1
