brand,url
bmw,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_size=25&page_number=1
honda,https://www.carlist.my/used-cars-for-sale/honda/malaysia?page_size=25&page_number=1
lexus,https://www.carlist.my/used-cars-for-sale/lexus/malaysia?page_size=25&page_number=1
mercedes-benz,https://www.carlist.my/used-cars-for-sale/mercedes-benz/malaysia?page_size=25&page_number=1
proton,https://www.carlist.my/used-cars-for-sale/proton/malaysia?page_size=25&page_number=1
perodua,https://www.carlist.my/used-cars-for-sale/perodua/malaysia?page_size=25&page_number=1
porsche,https://www.carlist.my/used-cars-for-sale/porsche/malaysia?page_size=25&page_number=1
toyota,https://www.carlist.my/used-cars-for-sale/toyota/malaysia?page_size=25&page_number=1
audi,https://www.carlist.my/used-cars-for-sale/audi/malaysia?page_size=25&page_number=1
ford,https://www.carlist.my/used-cars-for-sale/ford/malaysia?page_size=25&page_number=1
hyundai,https://www.carlist.my/used-cars-for-sale/hyundai/malaysia?page_size=25&page_number=1
inokom,https://www.carlist.my/used-cars-for-sale/inokom/malaysia?page_size=25&page_number=1
isuzu,https://www.carlist.my/used-cars-for-sale/isuzu/malaysia?page_size=25&page_number=1
kia,https://www.carlist.my/used-cars-for-sale/kia/malaysia?page_size=25&page_number=1
lamborghini,https://www.carlist.my/used-cars-for-sale/lamborghini/malaysia?page_size=25&page_number=1
land-rover,https://www.carlist.my/used-cars-for-sale/land-rover/malaysia?page_size=25&page_number=1
mazda,https://www.carlist.my/used-cars-for-sale/mazda/malaysia?page_size=25&page_number=1
mini,https://www.carlist.my/used-cars-for-sale/mini/malaysia?page_size=25&page_number=1
mitsubishi,https://www.carlist.my/used-cars-for-sale/mitsubishi/malaysia?page_size=25&page_number=1
nissan,https://www.carlist.my/used-cars-for-sale/nissan/malaysia?page_size=25&page_number=1
peugeot,https://www.carlist.my/used-cars-for-sale/peugeot/malaysia?page_size=25&page_number=1
subaru,https://www.carlist.my/used-cars-for-sale/subaru/malaysia?page_size=25&page_number=1
volkswagen,https://www.carlist.my/used-cars-for-sale/volkswagen/malaysia?page_size=25&page_number=1
volvo,https://www.carlist.my/used-cars-for-sale/volvo/malaysia?page_size=25&page_number=1
