brand,url
bentley,https://www.carlist.my/used-cars-for-sale/bentley/malaysia?page_size=25&page_number=1
byd,https://www.carlist.my/used-cars-for-sale/byd/malaysia?page_size=25&page_number=1
daihatsu,https://www.carlist.my/used-cars-for-sale/daihatsu/malaysia?page_size=25&page_number=1
ferrari,https://www.carlist.my/used-cars-for-sale/ferrari/malaysia?page_size=25&page_number=1
maserati,https://www.carlist.my/used-cars-for-sale/maserati/malaysia?page_size=25&page_number=1
maxus,https://www.carlist.my/used-cars-for-sale/maxus/malaysia?page_size=25&page_number=1
mclaren,https://www.carlist.my/used-cars-for-sale/mclaren/malaysia?page_size=25&page_number=1
naza,https://www.carlist.my/used-cars-for-sale/naza/malaysia?page_size=25&page_number=1
renault,https://www.carlist.my/used-cars-for-sale/renault/malaysia?page_size=25&page_number=1
rolls-royce,https://www.carlist.my/used-cars-for-sale/rolls-royce/malaysia?page_size=25&page_number=1
suzuki,https://www.carlist.my/used-cars-for-sale/suzuki/malaysia?page_size=25&page_number=1
