brand,url
aston-martin,https://www.carlist.my/used-cars-for-sale/aston-martin/malaysia?page_size=25&page_number=1
cam,https://www.carlist.my/used-cars-for-sale/cam/malaysia?page_size=25&page_number=1
chana,https://www.carlist.my/used-cars-for-sale/chana/malaysia?page_size=25&page_number=1
citroen,https://www.carlist.my/used-cars-for-sale/citroen/malaysia?page_size=25&page_number=1
foton,https://www.carlist.my/used-cars-for-sale/foton/malaysia?page_size=25&page_number=1
great-wall,https://www.carlist.my/used-cars-for-sale/great-wall/malaysia?page_size=25&page_number=1
great-wall-motors,https://www.carlist.my/used-cars-for-sale/great-wall-motors/malaysia?page_size=25&page_number=1
haval,https://www.carlist.my/used-cars-for-sale/haval/malaysia?page_size=25&page_number=1
hicom,https://www.carlist.my/used-cars-for-sale/hicom/malaysia?page_size=25&page_number=1
hino,https://www.carlist.my/used-cars-for-sale/hino/malaysia?page_size=25&page_number=1
hummer,https://www.carlist.my/used-cars-for-sale/hummer/malaysia?page_size=25&page_number=1
infiniti,https://www.carlist.my/used-cars-for-sale/infiniti/malaysia?page_size=25&page_number=1
jaguar,https://www.carlist.my/used-cars-for-sale/jaguar/malaysia?page_size=25&page_number=1
jeep,https://www.carlist.my/used-cars-for-sale/jeep/malaysia?page_size=25&page_number=1
lotus,https://www.carlist.my/used-cars-for-sale/lotus/malaysia?page_size=25&page_number=1
mg,https://www.carlist.my/used-cars-for-sale/mg/malaysia?page_size=25&page_number=1
smart,https://www.carlist.my/used-cars-for-sale/smart/malaysia?page_size=25&page_number=1
tata,https://www.carlist.my/used-cars-for-sale/tata/malaysia?page_size=25&page_number=1
tesla,https://www.carlist.my/used-cars-for-sale/tesla/malaysia?page_size=25&page_number=1
weststar-maxus,https://www.carlist.my/used-cars-for-sale/weststar-maxus/malaysia?page_size=25&page_number=1
